video_link,view_to_like_ratio,view_to_comment_ratio,view_to_dislikes_ratio,likes_to_dislikes,engagement_rate,comments_mean_value,star_rating
94UHCEmprCY,53.47743175,1763.78733,2498.698718,46.72435897,8.514739229,0.2723,4
7Ron6MN45LY,84.10058385,925.5714335,938.7411484,11.16212404,1159.45937,0.1881,3
ZHdai11Xga0,18.18362573,450.6376812,4442,244.2857143,4.731382979,0.4142,5
PXaLc9AYIcg,40.24166481,976.6681207,3661.422672,90.98586475,87.61932838,0.2985,5
UUaNiEmwEh0,30.34495338,450.9698795,2023.27027,66.67567568,2.633,0.4361,4
hbxQw4LQwws,44.00199167,1463.993976,4585.339623,104.2075472,6.14362851,0.5311,5
KNUL9qr6bBE,61.16888889,779.0377358,6193.35,101.25,11.43455497,0.1958,3
GC_Szxdqh2Y,84.1084701,2743.747692,611.3938978,7.269112101,54.49875312,0.3325,3
-y1cEwaQK0s,58.27121032,1704.548336,1819.915398,31.23181049,29.14351145,0.3023,4
EEksPdEc7aI,31.29011761,791.6485014,3164.869281,101.1459695,19.76289926,0.4888,5
jeFrwXSJ5Xc,35.93950794,1028.791453,4933.139344,137.2622951,9.769447576,0.4777,4
gyA0RWm32UA,57.8446924,1625.533898,224.8686987,3.887456038,2.8101473,0.2568,4
hZ2mkcd4C7M,16.86241007,143.1374046,694.4814815,41.18518519,1.476247031,0.24755,4
4dqzSkZm79Y,36.80425379,423.9824988,1931.632337,52.48394241,51.45554446,0.1406,3
uR5btn17I8E,109.4835443,389.6036036,745.6206897,6.810344828,2.53,0.2137,2
eh-LT1Zu70Q,64.37743733,202.7324561,1249.27027,19.40540541,12.78378378,0.0546,1
U0TfMiXxlio,51.78079242,368.8190184,44.99812874,0.869011976,3.100702576,0.1573,1
jnTIZf7ppwQ,36.06896552,117.5280899,2615,72.5,0.6890909091,0.1824,3
9Xq0GJLJdIs,41.64315034,1212.669582,1120.140934,26.89856373,58.15009381,0.1928,3
jYiH6P53miM,32.02280565,937.6319218,2937.27551,91.7244898,20.65777778,0.2705,4
7s5TYFPP6Uw,62.38994108,953.3022508,2964.77,47.52,20.72169168,0.347,4
Uo0YYUEdwZA,85.33543721,1478.305239,564.8181027,6.618798956,19.38313253,0.0822,1
v_y6KoQe3oQ,68.49770726,1246.90985,2456.904605,35.86842105,98.03693182,0.1965,4
-MWPZWAt-eA,37.32460337,1235.133333,485.9540984,13.01967213,7.618249534,0.0764,2
_Inrc0BXCRk,156.2579143,357.8272921,79.72494062,0.5102137767,25.71666667,-0.1329,1
phWz_k2P_S4,32.55172182,849.0026339,1456.346386,44.73945783,34.12168142,0.1961,3
PwCEQm7OFf4,87.99426934,481.7254902,1293.052632,14.69473684,6.5256917,0.0312,1
GEzCuK5bu30,69.6163142,128.0166667,426.7222222,6.12962963,0.9714828897,0.4054,3
RoRCMhvrJLU,130.7287205,459.5694981,894.9511278,6.845864662,8.567765568,0.2454,2
ll7bFxr-kag,82.67207175,4728.585492,2127.312354,25.73193473,64.55172414,0.2709,3
53aDHuFLkgQ,54.12738854,139.3114754,849.8,15.7,1.503448276,0.2477,3
9k2Jnu6nJDI,28.93367347,586.6551724,411.6048387,14.22580645,1.920124481,0.2801,3
Olb47nBRSSo,38.95385098,268.9617052,496.9866489,12.75834446,17.36507937,0.1962,2
eqCJofuYAeg,29.53161646,968.3240489,1753.226322,59.36777368,119.8506024,0.3116,4
w27u7SSfkGs,22.79484941,194.1375465,269.1907216,11.80927835,7.071823204,0.3493,5
MGhMShAXsHM,30.2253295,228.1324651,1259.931579,62.29473684,61.8496,0.125,2
S0ZyCu3sUAA,26.47569984,714.9133858,805.8639053,30.43786982,29.23013699,0.1656,3
Wz0HYJDAyHI,40.07594937,301.5238095,633.2,15.8,2.053537285,0.2563,3
i5OZQQWj5-I,17.11515337,205.6542857,1635.886364,95.58116883,99.96551724,0.3387,4
PyUDkM92oKM,50.31113493,1215.119741,6826.763636,135.6909091,10.70523416,0.2728,4
no7hxwicxiA,28.9726972,866.3837902,1091.435435,37.67117117,114.7256637,0.2712,3
tVq-dLMVAio,52.41359404,283.4451158,364.1151358,6.946959897,9.398818316,0.3182,4
QNne6LPgIJE,70.17141771,268.5396364,39.44471744,0.5621194317,12.98825832,0.0435,1
cN8Cnp0dJZs,40.23698562,252.9063867,108.9604222,10.64379947,51.81834215,0.0625,2
o6EJPpv40KI,58.72357816,461.8714286,793.398773,13.5107362,20.64241164,0.0467,1
SvpDPllV2rk,45.42069599,423.4239829,544.7355372,11.99311295,32.02990033,0.0524,1
gKFZjRV7L_Q,45.63905823,2215.357143,4430.714286,97.08163265,3.46044191,0.3987,4
ZOQ0A46IAGI,27.38409807,2259.583815,2124.5,77.58152174,21.37278107,0.37,4
HeLb0dy81Lc,25.85495646,2271.024742,14884.41892,575.6891892,23.11480687,0.4345,5
Z7trH_SF2WE,19.80056616,258.7541766,180.6966667,9.125833333,13.0409292,0.4266,5
